Date,Time,P_left,P_right,P_pipe,Q_left,Q_right,Q_pipe,VolumeL,VolumeR,VolumePipe,Qw,Dens_recirc,Dens_pipe,DesignIdx,StagesIdx,Design_desiredDens,VolumeLR,VolumeW,QVSource,Q_Slurry,Design_desiredSlurry,Design_Qw,CementValveSetValRecomend,CementValveOut,CementValveSetValMaxUser,Auto,PressAlarmVal,ValveGain,WaterSPGR,DensCement,CriteryDensChange,Dens_calculate,Q_LR,StageCode,V_org,Q_L_,Q_R_,Q_LR_,Q_,V_L_,V_R_,V_LR_,V_
12/20/2024,16:37:42,0.0,0.0,404.0,36.4,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,214.56,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,36.4,-1.0,0,36.4,0.0,36.4,0.0,0.0,0.0,214.56,-0.01
12/20/2024,16:37:43,0.0,0.0,404.0,36.4,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,214.63,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,37.2,-1.0,0,36.4,0.0,37.2,0.0,0.0,0.0,214.63,-0.01
12/20/2024,16:37:44,0.0,0.0,404.0,37.2,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,214.67,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,39.0,-1.0,0,37.2,0.0,39.0,0.0,0.0,0.0,214.67,-0.01
12/20/2024,16:37:45,0.0,0.0,404.0,37.5,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,214.71,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,37.5,-1.0,0,37.5,0.0,37.5,0.0,0.0,0.0,214.71,-0.01
12/20/2024,16:37:46,0.0,0.0,404.0,38.3,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,214.75,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,38.3,-1.0,0,38.3,0.0,38.3,0.0,0.0,0.0,214.75,-0.01
12/20/2024,16:37:47,0.0,0.0,404.0,38.4,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,214.78,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,38.4,-1.0,0,38.4,0.0,38.4,0.0,0.0,0.0,214.78,-0.01
12/20/2024,16:37:48,0.0,0.0,404.0,39.0,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,214.82,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,39.0,-1.0,0,39.0,0.0,39.0,0.0,0.0,0.0,214.82,-0.01
12/20/2024,16:37:49,0.0,0.0,404.0,39.1,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,214.86,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,39.1,-1.0,0,39.1,0.0,39.1,0.0,0.0,0.0,214.86,-0.01
12/20/2024,16:37:50,0.0,0.0,404.0,37.8,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,214.9,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,37.8,-1.0,0,37.8,0.0,37.8,0.0,0.0,0.0,214.9,-0.01
12/20/2024,16:37:51,0.0,0.0,404.0,37.3,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,214.94,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,37.3,-1.0,0,37.3,0.0,37.3,0.0,0.0,0.0,214.94,-0.01
12/20/2024,16:37:52,0.0,0.0,404.0,37.3,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,214.98,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,37.3,-1.0,0,37.3,0.0,37.3,0.0,0.0,0.0,214.98,-0.01
12/20/2024,16:37:53,0.0,0.0,404.0,37.3,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,215.01,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,37.3,-1.0,0,37.3,0.0,37.3,0.0,0.0,0.0,215.01,-0.01
12/20/2024,16:37:54,0.0,0.0,404.0,37.3,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,215.05,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,37.3,-1.0,0,37.3,0.0,37.3,0.0,0.0,0.0,215.05,-0.01
